activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Toerisme Zonnebeke;8980;227411;10
Fort Napoleon;8400;224810;10
Serpentarium;8370;228583;10
Toerisme Middelkerke;8430;229368;10
Bezoekerscentrum De Lieteberg;3690;261446;10
Rolstoelfietsen (Hamont-Achel);3930;219640;10
Toerisme Knokke-Heist;8300;227913;10
Restaurant Belvedere;8400;223883;10
Vayamundo De Kinkhoorn & Ravelingen;8400;221939;10
Fietsparadijs Limburg;3500;228839;10
Taverne Seastar Terminal;8620;221009;10
Sealife Center Belgium;8370;227447;10
Kasteel Beauvoorde;8630;221893;10
Visit Mechelen;2800;211185;10
Tearoom Aan Zee;8660;226507;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;227288;10
Site John McCrae - Essex Farm Cemetery;8900;224848;10
Gruuthusemuseum;8000;211612;10
Eet-praatcafé De Smidse;8430;220403;10
Yorkshire trench en dug-out;8904;221408;10
Dodencellen en executiepaal;8970;221188;10
Polymnia;1850;220806;10
Provinciaal Groendomein Prinsenpark;2470;218978;10
Nationaal Tabaksmuseum;8940;219628;10
Westfront;8620;226669;10
MoMu - Modemuseum Antwerpen;2000;211073;10
(elektrische) Strandjutter;8670;227913;10
Plattelandscentrum Meetjesland;9980;225497;10
Resto North Sea (North Sea Bowl);8670;221781;10
Openluchtmuseum Bokrijk;3600;221480;10
Gruuthusemuseum;8000;211550;10
Tearoom-restaurant Hill 60;8902;229555;10
Gezellehuis;8000;211587;10
Brasserie Marcel;8370;222232;10
Leuven +;3000;210766;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;228705;10
Bezoekerscentrum Doornpanne;8670;229554;10
Visit Antwerpen;2000;211335;10
Permekemuseum;8490;229374;10
Coxyde Military Cemetery;8670;357397;10
Eet-praatcafé De Smidse;8430;224724;10
Strandrolstoel;8660;229385;10
Coxyde Military Cemetery;8670;222223;10
Begijnhuisje;8000;211591;10
Provinciedomein Raversyde;8400;220631;10
Abdijmuseum Ten Duinen ;8670;220631;10
Tearoom-restaurant Hill 60;8902;225545;10
Cuchara;3920;224615;10
MoMu - Modemuseum Antwerpen;2000;356976;10
Frans Ossuarium Kemmelberg - Heuvelland;8956;227874;10
Ons Margriet;2800;211875;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;222136;10
Chocolate Nation;2018;211047;10
Stokerijbezoek De Molenberg;2830;221681;10
Memorial Museum Passchendaele 1917;8980;225875;10
Glacier Vincent;8370;222136;10
De Hooipiete;8647;221188;10
Sel Gris;8301;228421;10
Toerisme Middelkerke;8430;226125;10
Kazerne Dossin;2800;211875;10
Mijnmuseum Beringen;3582;230576;10
Stadsmuseum 't Schippershof;8930;229354;10
Brouwerijbezoek De Kroon;3040;221705;10
Strandbuggy en -rolstoel;8400;228820;10
Domeinbos Heverleebos + Meerdaalwoud;3050;220806;10
Restaurant - Tearoom De Markt;8620;222040;10
Heemkundig Museum Turkeyenhof;8450;325233;10
Ravelingen - Den Ensor;8400;226125;10
Resto North Sea (North Sea Bowl);8670;222223;10
Centrum Ronde van Vlaanderen - Belevingsmuseum;9700;298990;10
